Date,Nom_Client,Prenom_Client,Email_Client,Produit,Region,Type_Client,Quantité,Prix_Unitaire,Coût_Unitaire,Bonus_%,Heure_d'achat
2026-09-21,Sow,Seydou,seydou.sow926@example.sn,Smartphone,Kaolack,Standard,16,743,849,0%,81201
2026-02-04,Diallo,Penda,penda.diallo545@example.sn,Laptop,Matam,Standard,11,557,277,0%,51255
2026-07-25,Diallo,Penda,penda.diallo465@example.sn,Souris,Fatick,Standard,11,1037,658,5%,8336
2026-03-22,Gaye,Awa,awa.gaye501@example.sn,Smartphone,Fatick,Standard,16,344,1116,10%,80924
2026-02-19,Dramé,Awa,awa.dramé18@example.sn,Souris,Kaolack,Standard,10,529,208,5%,34023
2026-12-26,Ba,Fatou,fatou.ba927@example.sn,Tablette,Dakar,Standard,17,1093,751,5%,79791
2026-01-02,Ba,Awa,awa.ba141@example.sn,Ecran,Fatick,Standard,12,811,981,0%,69493
2026-02-23,Ndiaye,Awa,awa.ndiaye86@example.sn,Clavier,Louga,Standard,5,1477,1064,0%,14849
2026-04-16,Diop,Khadija,khadija.diop747@example.sn,Casque,Matam,Standard,12,468,446,10%,80620
2026-09-17,Diop,Amadou,amadou.diop140@example.sn,Tablette,Ziguinchor,Standard,3,465,1045,0%,60070
2026-11-06,Dramé,Fatou,fatou.dramé897@example.sn,Tablette,Matam,Premium,19,578,62,0%,20022
2026-07-10,Traore,Penda,penda.traore421@example.sn,Laptop,Tambacounda,Premium,10,1209,106,0%,51186
2026-08-06,Fall,Fatou,fatou.fall99@example.sn,Laptop,Matam,Standard,16,710,903,0%,85538
2026-02-13,Gaye,Penda,penda.gaye507@example.sn,Imprimante,Kolda,Standard,19,712,250,0%,10014
2026-06-11,Cisse,Ibrahima,ibrahima.cisse638@example.sn,Souris,Dakar,Premium,11,164,115,5%,29721
2026-07-21,Diop,Amadou,amadou.diop631@example.sn,Souris,Saint-Louis,Standard,16,908,625,5%,747
2026-09-27,Gaye,Khadija,khadija.gaye898@example.sn,Casque,Louga,Premium,10,229,329,5%,1339
2026-12-17,Diallo,Khadija,khadija.diallo363@example.sn,Casque,Kaolack,Standard,15,697,586,0%,24816
2026-10-31,Traore,Mariama,mariama.traore280@example.sn,Imprimante,Matam,Standard,3,660,710,0%,9009
2026-09-28,Cisse,Omar,omar.cisse401@example.sn,Clavier,Tambacounda,Premium,10,374,465,0%,41081
2026-08-03,Dramé,Penda,penda.dramé441@example.sn,Smartphone,Dakar,Premium,12,239,1070,5%,7867
2026-09-09,Gaye,Omar,omar.gaye748@example.sn,Casque,Ziguinchor,Standard,9,1010,79,5%,77186
2026-07-09,Ndiaye,Ibrahima,ibrahima.ndiaye481@example.sn,Casque,Kaolack,VIP,19,1264,533,0%,28307
2026-10-23,Cisse,Khadija,khadija.cisse765@example.sn,Souris,Dakar,Standard,1,777,909,0%,60343
2026-08-01,Dramé,Ibrahima,ibrahima.dramé317@example.sn,Smartphone,Tambacounda,Premium,13,721,977,10%,34676
2026-07-27,Ba,Seydou,seydou.ba517@example.sn,Clavier,Louga,Standard,7,872,461,0%,45057
2026-08-25,Dramé,Amadou,amadou.dramé64@example.sn,Ecran,Tambacounda,Standard,7,1362,810,0%,25830
2026-12-04,Dramé,Mariama,mariama.dramé46@example.sn,Ecran,Saint-Louis,Standard,6,1239,852,0%,21495
2026-02-22,Cisse,Ibrahima,ibrahima.cisse909@example.sn,Laptop,Ziguinchor,Standard,12,1331,379,5%,66110
2026-10-07,Traore,Mariama,mariama.traore64@example.sn,Clavier,Louga,Standard,4,285,31,5%,21868
2026-08-05,Cisse,Amadou,amadou.cisse533@example.sn,Smartphone,Kaolack,Standard,10,1467,745,0%,66764
2026-09-09,Sow,Fatou,fatou.sow924@example.sn,Laptop,Tambacounda,Standard,19,790,883,0%,72668
2026-07-07,Fall,Ibrahima,ibrahima.fall472@example.sn,Laptop,Tambacounda,Standard,2,627,899,0%,18878
2026-02-10,Traore,Awa,awa.traore706@example.sn,Imprimante,Louga,Standard,4,509,810,0%,65842
2026-06-06,Ndiaye,Moussa,moussa.ndiaye487@example.sn,Laptop,Fatick,Standard,15,783,461,0%,21767
2026-01-15,Traore,Khadija,khadija.traore758@example.sn,Clavier,Thies,Standard,6,1088,401,0%,5045
2026-10-28,Diallo,Khadija,khadija.diallo814@example.sn,Imprimante,Fatick,Standard,1,520,886,0%,10313
2026-03-06,Ndiaye,Khadija,khadija.ndiaye725@example.sn,Souris,Fatick,Standard,18,933,524,0%,61349
2026-12-11,Ba,Fatou,fatou.ba220@example.sn,Smartphone,Thies,Premium,8,878,66,0%,36023
2026-11-23,Cisse,Moussa,moussa.cisse235@example.sn,Clavier,Saint-Louis,Standard,13,720,562,0%,52288
2026-01-09,Dramé,Amadou,amadou.dramé16@example.sn,Clavier,Saint-Louis,Standard,19,1318,303,5%,56490
2026-12-10,Cisse,Fatou,fatou.cisse741@example.sn,Tablette,Dakar,Standard,16,300,630,0%,59938
2026-05-09,Diallo,Khadija,khadija.diallo832@example.sn,Casque,Dakar,Standard,1,1239,1162,0%,27843
2026-05-16,Gaye,Khadija,khadija.gaye549@example.sn,Ecran,Tambacounda,Standard,2,1279,791,0%,68994
2026-03-04,Diallo,Omar,omar.diallo998@example.sn,Clavier,Louga,VIP,19,1194,604,0%,41047
2026-05-19,Sow,Mariama,mariama.sow814@example.sn,Tablette,Kolda,Premium,14,732,762,0%,53584
2026-03-22,Dramé,Mariama,mariama.dramé221@example.sn,Ecran,Kolda,Standard,15,328,715,5%,75674
2026-06-12,Dramé,Omar,omar.dramé198@example.sn,Souris,Dakar,Premium,2,1050,1069,0%,36154
2026-10-16,Diop,Seydou,seydou.diop84@example.sn,Imprimante,Fatick,Standard,13,1292,243,0%,18899
2026-09-18,Gaye,Omar,omar.gaye763@example.sn,Souris,Louga,Standard,11,1273,713,0%,27174
2026-08-19,Diop,Mariama,mariama.diop123@example.sn,Smartphone,Kaolack,Standard,10,132,681,0%,71531
2026-02-10,Ba,Khadija,khadija.ba688@example.sn,Tablette,Saint-Louis,Standard,2,926,776,0%,84274
2026-01-28,Fall,Awa,awa.fall627@example.sn,Imprimante,Kolda,Premium,17,925,503,0%,15901
2026-05-15,Fall,Mariama,mariama.fall160@example.sn,Clavier,Tambacounda,Standard,3,1349,825,0%,79046
2026-07-20,Cisse,Moussa,moussa.cisse445@example.sn,Imprimante,Ziguinchor,Standard,4,271,1140,0%,23834
2026-11-24,Fall,Awa,awa.fall887@example.sn,Smartphone,Matam,Standard,5,697,644,10%,58009
2026-09-25,Dramé,Fatou,fatou.dramé93@example.sn,Tablette,Kaolack,VIP,2,1135,897,0%,1955
2026-02-02,Diallo,Mariama,mariama.diallo221@example.sn,Clavier,Kaolack,Standard,4,447,980,5%,49034
2026-02-17,Gaye,Amadou,amadou.gaye788@example.sn,Smartphone,Louga,Standard,12,1239,427,5%,30453
2026-03-03,Cisse,Ibrahima,ibrahima.cisse843@example.sn,Ecran,Louga,Standard,6,180,700,0%,4969
2026-08-04,Cisse,Ibrahima,ibrahima.cisse790@example.sn,Smartphone,Saint-Louis,Premium,15,1384,92,0%,60290
2026-10-20,Gaye,Moussa,moussa.gaye470@example.sn,Ecran,Thies,Standard,7,255,105,0%,14833
2026-04-09,Dramé,Penda,penda.dramé946@example.sn,Casque,Kolda,Standard,6,1478,417,0%,25806
2026-06-21,Ba,Ibrahima,ibrahima.ba186@example.sn,Souris,Thies,Standard,14,1236,502,5%,77753
2026-12-26,Ba,Moussa,moussa.ba792@example.sn,Imprimante,Kolda,Premium,18,1069,374,10%,1579
2026-08-02,Cisse,Penda,penda.cisse321@example.sn,Imprimante,Matam,Standard,7,1373,1077,0%,12888
2026-02-04,Ba,Fatou,fatou.ba703@example.sn,Ecran,Tambacounda,Standard,6,1245,879,0%,10575
2026-08-15,Dramé,Penda,penda.dramé168@example.sn,Clavier,Fatick,Standard,6,930,358,0%,31226
2026-04-11,Sow,Amadou,amadou.sow710@example.sn,Casque,Ziguinchor,Premium,6,988,1038,5%,2143
2026-05-11,Sow,Mariama,mariama.sow195@example.sn,Smartphone,Saint-Louis,Standard,10,218,354,0%,7236
2026-09-14,Diop,Ibrahima,ibrahima.diop480@example.sn,Smartphone,Thies,Standard,4,204,461,5%,68682
2026-01-05,Traore,Khadija,khadija.traore965@example.sn,Tablette,Matam,Standard,10,1165,1098,5%,23904
2026-08-06,Ndiaye,Omar,omar.ndiaye318@example.sn,Casque,Thies,Standard,1,1229,1087,0%,25563
2026-09-12,Fall,Mariama,mariama.fall991@example.sn,Laptop,Matam,Premium,14,54,1191,0%,86351
2026-12-25,Ba,Fatou,fatou.ba255@example.sn,Clavier,Ziguinchor,Standard,18,732,906,0%,66433
2026-10-10,Sow,Fatou,fatou.sow838@example.sn,Souris,Kolda,Standard,9,1264,414,0%,64085
2026-07-26,Diallo,Moussa,moussa.diallo985@example.sn,Ecran,Kaolack,Standard,10,1083,192,0%,80458
2026-01-15,Gaye,Seydou,seydou.gaye393@example.sn,Casque,Matam,Premium,19,624,390,5%,66399
2026-12-12,Traore,Penda,penda.traore51@example.sn,Smartphone,Fatick,Standard,4,826,567,0%,60388
2026-02-11,Diop,Penda,penda.diop294@example.sn,Tablette,Matam,Standard,13,1157,628,0%,76654
2026-06-28,Ndiaye,Moussa,moussa.ndiaye989@example.sn,Clavier,Ziguinchor,VIP,10,928,108,0%,959
2026-03-04,Sow,Omar,omar.sow997@example.sn,Souris,Thies,Standard,13,1102,480,0%,9348
2026-12-18,Diop,Khadija,khadija.diop932@example.sn,Ecran,Fatick,Standard,12,1485,816,0%,8154
2026-08-19,Traore,Fatou,fatou.traore309@example.sn,Clavier,Saint-Louis,Standard,3,1468,260,0%,19335
2026-08-29,Gaye,Mariama,mariama.gaye998@example.sn,Tablette,Tambacounda,VIP,19,262,440,0%,43132
2026-02-21,Fall,Omar,omar.fall910@example.sn,Smartphone,Tambacounda,Standard,9,520,435,10%,79490
2026-04-06,Sow,Khadija,khadija.sow445@example.sn,Imprimante,Tambacounda,Standard,13,270,846,5%,66783
2026-08-10,Gaye,Seydou,seydou.gaye378@example.sn,Ecran,Tambacounda,Standard,8,832,1111,5%,4885
2026-08-19,Ndiaye,Mariama,mariama.ndiaye883@example.sn,Imprimante,Thies,Standard,4,1225,85,0%,21721
2026-08-25,Ba,Moussa,moussa.ba495@example.sn,Souris,Saint-Louis,VIP,9,84,1156,0%,72394
2026-05-23,Traore,Mariama,mariama.traore958@example.sn,Laptop,Kaolack,Premium,7,110,1105,0%,83206
2026-06-20,Ndiaye,Amadou,amadou.ndiaye445@example.sn,Tablette,Tambacounda,Premium,11,1349,1042,0%,75493
2026-01-29,Fall,Seydou,seydou.fall815@example.sn,Laptop,Fatick,Premium,15,875,1002,0%,54634
2026-02-05,Gaye,Moussa,moussa.gaye437@example.sn,Casque,Tambacounda,Premium,13,1008,1027,5%,27464
2026-01-13,Dramé,Moussa,moussa.dramé190@example.sn,Imprimante,Dakar,Standard,3,661,749,0%,56442
2026-06-09,Fall,Moussa,moussa.fall892@example.sn,Clavier,Louga,Standard,3,764,313,5%,75617
2026-11-23,Cisse,Ibrahima,ibrahima.cisse907@example.sn,Souris,Louga,Premium,11,1295,1023,0%,36218
2026-07-06,Sow,Omar,omar.sow886@example.sn,Imprimante,Matam,Standard,5,749,1149,5%,26922
2026-08-31,Ba,Khadija,khadija.ba703@example.sn,Smartphone,Thies,Standard,19,1496,411,0%,26649
2026-03-27,Traore,Penda,penda.traore349@example.sn,Laptop,Thies,Standard,12,453,731,0%,54603
2026-10-11,Diallo,Fatou,fatou.diallo500@example.sn,Smartphone,Dakar,Standard,18,497,1058,0%,49017
2026-03-07,Gaye,Fatou,fatou.gaye504@example.sn,Casque,Saint-Louis,VIP,4,703,335,0%,36604
2026-06-19,Dramé,Amadou,amadou.dramé982@example.sn,Laptop,Fatick,Premium,8,1237,1010,0%,20388
2026-02-14,Diallo,Amadou,amadou.diallo739@example.sn,Smartphone,Matam,Standard,14,190,670,5%,48760
2026-03-03,Sow,Amadou,amadou.sow172@example.sn,Smartphone,Fatick,Standard,16,306,172,0%,69681
2026-05-14,Sow,Awa,awa.sow567@example.sn,Ecran,Kolda,Standard,8,552,231,0%,26486
2026-10-11,Traore,Amadou,amadou.traore465@example.sn,Casque,Matam,Standard,5,419,1054,0%,41250
2026-01-28,Dramé,Fatou,fatou.dramé101@example.sn,Tablette,Matam,VIP,9,1342,1003,0%,27057
2026-04-18,Sow,Seydou,seydou.sow114@example.sn,Souris,Thies,Standard,2,1236,775,0%,83655
2026-02-13,Diallo,Khadija,khadija.diallo728@example.sn,Casque,Dakar,Standard,8,723,582,0%,22027
2026-12-06,Dramé,Amadou,amadou.dramé448@example.sn,Laptop,Louga,VIP,7,1125,971,0%,33906
2026-10-13,Diallo,Seydou,seydou.diallo507@example.sn,Laptop,Fatick,Premium,18,375,306,5%,12487
2026-11-27,Fall,Awa,awa.fall337@example.sn,Clavier,Louga,Standard,9,1131,780,0%,29946
2026-05-08,Ndiaye,Awa,awa.ndiaye660@example.sn,Smartphone,Fatick,VIP,11,332,248,0%,77992
2026-12-14,Dramé,Penda,penda.dramé550@example.sn,Souris,Matam,Premium,12,1130,400,0%,53662
2026-08-19,Diop,Ibrahima,ibrahima.diop518@example.sn,Laptop,Thies,VIP,8,429,81,5%,44628
2026-07-09,Ndiaye,Ibrahima,ibrahima.ndiaye260@example.sn,Tablette,Dakar,Standard,17,931,495,0%,22238
2026-08-13,Ndiaye,Mariama,mariama.ndiaye974@example.sn,Tablette,Tambacounda,Standard,19,1082,833,5%,50463
2026-10-10,Dramé,Ibrahima,ibrahima.dramé200@example.sn,Casque,Matam,Premium,1,640,963,0%,85139
2026-05-01,Ba,Mariama,mariama.ba56@example.sn,Imprimante,Matam,Standard,3,712,640,0%,48878
2026-04-26,Sow,Omar,omar.sow888@example.sn,Laptop,Matam,Premium,14,876,97,0%,14418
2026-08-21,Fall,Ibrahima,ibrahima.fall260@example.sn,Souris,Tambacounda,VIP,18,327,896,5%,7342
2026-09-16,Ba,Awa,awa.ba784@example.sn,Souris,Fatick,Standard,2,456,367,0%,75997
2026-12-25,Ba,Penda,penda.ba894@example.sn,Imprimante,Thies,Standard,8,133,1144,0%,32840
2026-07-17,Diop,Seydou,seydou.diop73@example.sn,Laptop,Kaolack,Standard,17,485,854,5%,65309
2026-05-17,Gaye,Amadou,amadou.gaye859@example.sn,Imprimante,Kolda,Standard,9,1446,868,0%,28142
2026-11-14,Dramé,Ibrahima,ibrahima.dramé329@example.sn,Ecran,Matam,Standard,12,194,795,0%,59164
2026-06-14,Diallo,Mariama,mariama.diallo869@example.sn,Clavier,Kaolack,Standard,7,794,326,0%,84147
2026-08-13,Sow,Seydou,seydou.sow789@example.sn,Clavier,Matam,VIP,1,200,789,0%,44782
2026-11-03,Ba,Moussa,moussa.ba533@example.sn,Clavier,Tambacounda,VIP,14,598,646,0%,84547
2026-08-22,Fall,Fatou,fatou.fall301@example.sn,Ecran,Louga,Standard,2,885,292,10%,38577
2026-06-21,Gaye,Ibrahima,ibrahima.gaye38@example.sn,Laptop,Kolda,Premium,17,250,598,0%,34334
2026-06-01,Diop,Fatou,fatou.diop660@example.sn,Casque,Dakar,Standard,7,558,714,0%,35488
2026-11-11,Cisse,Ibrahima,ibrahima.cisse446@example.sn,Ecran,Louga,Standard,15,411,155,0%,7920
2026-06-09,Sow,Moussa,moussa.sow975@example.sn,Souris,Kaolack,VIP,9,1265,122,0%,75584
2026-04-06,Cisse,Amadou,amadou.cisse606@example.sn,Casque,Saint-Louis,Standard,8,579,1174,0%,9234
2026-08-21,Ndiaye,Omar,omar.ndiaye595@example.sn,Imprimante,Ziguinchor,Premium,7,212,933,10%,40334
2026-06-29,Ba,Khadija,khadija.ba772@example.sn,Casque,Tambacounda,Standard,4,328,133,0%,56066
2026-04-23,Traore,Seydou,seydou.traore745@example.sn,Ecran,Matam,Standard,10,400,701,0%,81851
2026-11-14,Sow,Seydou,seydou.sow56@example.sn,Casque,Tambacounda,Premium,7,261,353,0%,12458
2026-02-21,Diallo,Amadou,amadou.diallo426@example.sn,Tablette,Louga,Standard,15,1208,423,5%,71220
2026-09-25,Gaye,Penda,penda.gaye602@example.sn,Laptop,Dakar,Premium,13,893,368,0%,26437
2026-10-22,Fall,Awa,awa.fall460@example.sn,Smartphone,Louga,Standard,8,557,617,0%,20374
2026-04-23,Sow,Ibrahima,ibrahima.sow642@example.sn,Laptop,Fatick,VIP,9,534,936,10%,83176
2026-04-11,Diallo,Khadija,khadija.diallo564@example.sn,Casque,Louga,Standard,9,994,547,0%,85262
2026-04-23,Dramé,Penda,penda.dramé667@example.sn,Tablette,Saint-Louis,Standard,5,1067,823,5%,46700
2026-03-22,Cisse,Khadija,khadija.cisse83@example.sn,Tablette,Kolda,Premium,6,804,229,0%,34734
2026-07-06,Dramé,Awa,awa.dramé62@example.sn,Laptop,Tambacounda,Standard,16,757,1043,0%,25608
2026-04-23,Gaye,Fatou,fatou.gaye242@example.sn,Imprimante,Tambacounda,Premium,16,576,615,10%,72385
2026-01-02,Diop,Ibrahima,ibrahima.diop816@example.sn,Smartphone,Kaolack,Premium,14,1459,1162,0%,48564
2026-05-10,Ba,Awa,awa.ba884@example.sn,Ecran,Ziguinchor,Standard,19,939,1168,0%,59496
2026-08-08,Sow,Seydou,seydou.sow209@example.sn,Ecran,Ziguinchor,Premium,19,508,285,5%,5468
2026-02-23,Traore,Seydou,seydou.traore683@example.sn,Casque,Saint-Louis,Standard,16,873,435,0%,60841
2026-12-09,Cisse,Ibrahima,ibrahima.cisse558@example.sn,Tablette,Thies,Standard,5,1170,508,5%,58285
2026-08-12,Cisse,Omar,omar.cisse946@example.sn,Casque,Matam,Standard,1,1087,808,0%,52190
2026-08-13,Sow,Amadou,amadou.sow106@example.sn,Casque,Fatick,Premium,5,1228,367,10%,759
2026-05-06,Ndiaye,Amadou,amadou.ndiaye58@example.sn,Souris,Ziguinchor,Standard,9,727,575,0%,82176
2026-05-10,Dramé,Seydou,seydou.dramé905@example.sn,Casque,Dakar,Premium,7,665,288,10%,1629
2026-02-22,Cisse,Seydou,seydou.cisse531@example.sn,Clavier,Tambacounda,Standard,10,1203,782,5%,51035
2026-06-21,Diallo,Awa,awa.diallo49@example.sn,Souris,Dakar,Standard,15,53,387,10%,27388
2026-08-06,Fall,Moussa,moussa.fall923@example.sn,Casque,Matam,Standard,12,1225,833,5%,7385
2026-06-09,Ba,Mariama,mariama.ba162@example.sn,Casque,Kaolack,Standard,13,708,468,5%,34551
2026-07-17,Cisse,Omar,omar.cisse115@example.sn,Smartphone,Kaolack,Standard,18,239,571,0%,78248
2026-09-04,Diallo,Penda,penda.diallo562@example.sn,Ecran,Kolda,Premium,10,1017,603,0%,22994
2026-11-20,Gaye,Mariama,mariama.gaye685@example.sn,Souris,Thies,Standard,1,177,784,0%,71522
2026-07-22,Gaye,Awa,awa.gaye779@example.sn,Ecran,Ziguinchor,Standard,4,505,1160,0%,63264
2026-07-03,Ba,Mariama,mariama.ba220@example.sn,Souris,Louga,Standard,17,127,252,0%,22087
2026-05-03,Ndiaye,Mariama,mariama.ndiaye211@example.sn,Smartphone,Louga,VIP,13,483,189,0%,67571
2026-09-12,Traore,Awa,awa.traore442@example.sn,Clavier,Tambacounda,Premium,2,675,1173,0%,5104
2026-10-21,Ba,Seydou,seydou.ba716@example.sn,Souris,Saint-Louis,Standard,15,1198,909,0%,28516
2026-10-07,Diop,Seydou,seydou.diop574@example.sn,Clavier,Tambacounda,VIP,12,261,1053,0%,41129
2026-11-21,Ndiaye,Ibrahima,ibrahima.ndiaye156@example.sn,Casque,Louga,Standard,2,242,301,10%,52921
2026-04-08,Cisse,Mariama,mariama.cisse508@example.sn,Tablette,Tambacounda,Standard,7,276,833,0%,78959
2026-07-17,Ba,Penda,penda.ba291@example.sn,Tablette,Tambacounda,Standard,4,389,808,0%,223
2026-08-28,Dramé,Awa,awa.dramé319@example.sn,Laptop,Ziguinchor,VIP,14,1059,529,0%,10962
2026-05-24,Gaye,Penda,penda.gaye764@example.sn,Tablette,Matam,Standard,18,1213,620,0%,63645
2026-04-07,Diallo,Khadija,khadija.diallo60@example.sn,Tablette,Kaolack,VIP,11,728,220,0%,75529
2026-07-20,Ba,Amadou,amadou.ba504@example.sn,Smartphone,Tambacounda,Standard,3,462,456,0%,26559
2026-05-04,Dramé,Ibrahima,ibrahima.dramé418@example.sn,Laptop,Tambacounda,Standard,3,235,528,0%,8099
2026-07-06,Ndiaye,Amadou,amadou.ndiaye635@example.sn,Ecran,Saint-Louis,Standard,18,372,246,0%,84226
2026-11-22,Diop,Ibrahima,ibrahima.diop282@example.sn,Imprimante,Louga,Standard,1,888,1102,5%,49236
2026-12-15,Diallo,Omar,omar.diallo467@example.sn,Laptop,Tambacounda,Premium,13,1288,208,0%,82909
2026-09-16,Fall,Awa,awa.fall129@example.sn,Smartphone,Kolda,Standard,5,638,719,0%,45722
2026-05-28,Diop,Amadou,amadou.diop710@example.sn,Imprimante,Matam,Standard,4,558,439,0%,78401
